Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63ea0f08d41d6b1c6ba0c87e,603fd2eb4f825f118c955c88,APPROVED,2023-02-13T10:21:03.118000Z,2023-02-13T11:29:08.446000Z,2023-02-14T16:00:09.963000,2023-02-13T11:29:08.890454Z,4086,CJ8EQCN9,513,English,Yes,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63ea0f0a4af48a719f3f5788,5c0436da4e1b7b00016ab8b4,APPROVED,2023-02-13T10:21:07.704000Z,2023-02-13T11:14:11.915000Z,2023-02-14T16:03:51.305000,2023-02-13T11:14:12.304309Z,3185,CJ8EQCN9,454,"Polish, English",Yes,42,Male,White,Poland,United Kingdom,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
63ea0f33750994601613d802,605272be8568b6160f582f2e,APPROVED,2023-02-13T10:24:59.495000Z,2023-02-13T12:01:15.573000Z,2023-02-14T16:16:01.439000,2023-02-13T12:01:15.923684Z,5777,CJ8EQCN9,221,"Portuguese, English",Yes,25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
63ea0f84bfb5a2debd5600eb,5f9870b69714b013c6293f90,APPROVED,2023-02-13T10:23:24.683000Z,2023-02-13T11:18:02.796000Z,2023-02-14T16:07:37.319000,2023-02-13T11:18:03.179166Z,3279,CJ8EQCN9,33,"English, Italian",Yes,25,Female,White,Italy,Italy,Italy,Italian,No,Other
63ea0fca34ae7760f9accd05,5e762510b2dbac0009c68dd7,APPROVED,2023-02-13T10:24:10.429000Z,2023-02-13T11:33:13.612000Z,2023-02-14T16:11:10.150000,2023-02-13T11:33:13.984401Z,4144,CJ8EQCN9,1044,English,Yes,54,Female,Black,Nigeria,United Kingdom,United Kingdom,English,No,Other
63ea1623db5cc0b94fc78be7,611bb2a6d9678117db737236,APPROVED,2023-02-13T10:51:21.665000Z,2023-02-13T12:05:32.641000Z,2023-02-14T16:22:06.414000,2023-02-13T12:05:33.214386Z,4451,CJ8EQCN9,385,"Catalan, English, Spanish",Yes,23,Male,White,Spain,Spain,Spain,Catalan,No,Full-Time
63eb6610b2f343ad806430ec,5780d9a1900cc80001d2d1c2,APPROVED,2023-02-14T10:44:41.567000Z,2023-02-14T11:42:29.662000Z,2023-02-14T16:29:30.584000,2023-02-14T11:42:30.173889Z,3469,NOCODE,2222,English,Yes,66,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63eb66115b48f3bb3f8a489b,6089cd0a1c1541c29bb34c73,APPROVED,2023-02-14T10:44:39.229000Z,2023-02-14T11:45:49.211000Z,2023-02-14T16:25:49.998000,2023-02-14T11:45:49.601780Z,3670,CJ8EQCN9,706,"Arabic, French, English, Spanish",Yes,31,Male,White,Algeria,Spain,Algeria,French,DATA_EXPIRED,DATA_EXPIRED
63eb66115cf6886065cf621f,6098000de6e5af4368f40718,APPROVED,2023-02-14T10:54:20.300000Z,2023-02-14T11:54:13.016000Z,2023-02-14T16:32:43.774000,2023-02-14T11:54:14.694148Z,3593,CJ8EQCN9,60,"Portuguese, Spanish, English",Yes,23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
63eca1f2d3e4dbedfef25634,57acc170c6bab4000172a42e,APPROVED,2023-02-15T09:14:40.263000Z,2023-02-15T10:04:44.738000Z,2023-02-15T15:37:40.384000,2023-02-15T10:04:45.293546Z,3005,CJ8EQCN9,984,English,Yes,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63eca1f30537151008d8fb03,5cb20f2d7c917b00172dfef5,APPROVED,2023-02-15T09:16:04.397000Z,2023-02-15T10:09:52.590000Z,2023-02-15T15:40:53.092000,2023-02-15T10:09:54.821803Z,3229,NOCODE,1560,"English, German",Yes,47,Male,White,Germany,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63eca1f4f5ce28bed2ef6df0,59b555702a78fd00010b86d4,APPROVED,2023-02-15T09:12:20.840000Z,2023-02-15T10:00:12.800000Z,2023-02-15T14:57:57.348000,2023-02-15T10:00:13.227098Z,2872,NOCODE,786,English,Yes,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
